"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"02.01.2018 23:30 - 02.01.2018 23:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","22140","n/e"
"02.01.2018 23:45 - 03.01.2018 00:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","22738","n/e"
"03.01.2018 00:00 - 03.01.2018 00:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","24634","n/e"
"03.01.2018 00:15 - 03.01.2018 00:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","25005","n/e"
"03.01.2018 00:30 - 03.01.2018 00:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","25525","n/e"
"03.01.2018 00:45 - 03.01.2018 01:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","26048","n/e"
"03.01.2018 01:00 - 03.01.2018 01:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","27863","n/e"
"03.01.2018 01:15 - 03.01.2018 01:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","28514","n/e"
"03.01.2018 01:30 - 03.01.2018 01:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","28911","n/e"
"03.01.2018 01:45 - 03.01.2018 02:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","29394","n/e"
"03.01.2018 02:00 - 03.01.2018 02:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","29878","n/e"
"03.01.2018 02:15 - 03.01.2018 02:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","30312","n/e"
"03.01.2018 02:30 - 03.01.2018 02:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","30514","n/e"
